step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
0,0.0,-17.379071205417894,0.0,-7.327471962526033e-15,-0.19255658413583124,64,0.0,0.0
1,0.05,-17.379071205418207,-3.126388037344441e-13,-1.9095836023552692e-14,-0.19339385758915048,64,4.4408920985005926e-16,2.2204460492502902e-15
2,0.1,-17.37907120541789,3.552713678800501e-15,-1.1324274851176597e-14,-0.19588069066776415,64,2.6645352591003386e-15,1.5765166949676945e-14
3,0.15000000000000002,-17.379071205417457,4.369837824924616e-13,-4.6629367034256575e-15,-0.1999429968301766,64,3.552713678800478e-15,3.3084646133829356e-14
4,0.2,-17.3790712054173,5.933031843596837e-13,4.9960036108132044e-15,-0.2054601806746245,64,2.997602166487916e-15,2.0317081350640365e-14
5,0.25,-17.379071205417024,8.704148513061227e-13,3.2862601528904634e-14,-0.21226935026932078,64,5.8841820305134196e-15,3.5749181392930684e-14
6,0.30000000000000004,-17.379071205416775,1.1191048088221578e-12,6.361577931102147e-14,-0.22017099596670886,64,2.886579864025563e-15,2.8865798640255484e-14
7,0.35000000000000003,-17.379071205416942,9.521272659185342e-13,8.237854842718662e-14,-0.2289359243813677,64,4.773959005888573e-15,4.4519943287472097e-14
8,0.4,-17.379071205416846,1.0480505352461478e-12,1.219024881038422e-13,-0.2383131867088342,64,5.884182030514033e-15,6.006306563222742e-14
9,0.45,-17.379071205416444,1.4495071809506044e-12,1.957323192414151e-13,-0.2480386993552172,64,7.993605777302531e-15,8.171241461242436e-14
10,0.5,-17.379071205415528,2.3661073100811336e-12,3.0520030946945553e-13,-0.2578442241125585,64,1.1213252548717131e-14,1.2512213487528586e-13
11,0.55,-17.37907120541384,4.0536463075113716e-12,4.671818487622659e-13,-0.26746635697293314,64,1.7652546091547736e-14,1.7252865802681506e-13
12,0.6000000000000001,-17.37907120541071,7.183587058534613e-12,7.409628466348295e-13,-0.27665517064136785,64,3.064215547967471e-14,2.794431352983177e-13
13,0.65,-17.37907120540672,1.1173284519827575e-11,1.145195049900849e-12,-0.2851821671791827,64,4.429789868258987e-14,4.337641357214519e-13
14,0.7000000000000001,-17.379071205400127,1.7767121107681305e-11,1.7966739207508908e-12,-0.29284722462395946,64,5.562217353378882e-14,6.565858967642747e-13
15,0.75,-17.37907120538941,2.8485658276622416e-11,2.705502488709044e-12,-0.2994842643424526,64,9.248157795150743e-14,9.209299989286191e-13
16,0.8,-17.379071205375446,4.2447823034308385e-11,3.849809360190193e-12,-0.3049654231336097,64,1.153521722589686e-13,1.1608491945518312e-12
17,0.8500000000000001,-17.379071205356915,6.09787775829318e-11,5.51259038417129e-12,-0.3092035833332503,64,1.6575629757738186e-13,1.6868728636232702e-12
18,0.9,-17.37907120532932,8.857270472617529e-11,8.106071369695655e-12,-0.3121531920481418,64,2.2470914018572392e-13,2.611688643145797e-12
19,0.9500000000000001,-17.379071205287396,1.304982788497e-10,1.2068235299977914e-11,-0.31380938308883327,64,3.09974268478614e-13,3.955280547569062e-12
20,1.0,-17.3790712052188,1.9909407455998007e-10,1.8382184663323642e-11,-0.31420549760143585,64,6.257216966892574e-13,6.305067579243541e-12
21,1.05,-17.379071205106474,3.114202229426155e-10,2.8095414883466674e-11,-0.31340917681624414,64,1.1503020758436071e-12,9.721889959957862e-12
22,1.1,-17.37907120495932,4.5857362351853226e-10,4.038391843153022e-11,-0.31151726803522456,64,1.3133938381703965e-12,1.2298939644911355e-11
