step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,min_schmidt_tail,max_schmidt_tail
0,0.0,-8.501141027135,0.0,-3.109e-15,-0.183164779359,64,1.230e-17,5.418e-01
1,0.050000,-8.501141025120,2.016e-09,2.373e-10,-0.183895685550,64,NaN,NaN
2,0.100000,-8.501141025120,2.016e-09,2.373e-10,-0.186067233396,64,NaN,NaN
3,0.150000,-8.501141025120,2.016e-09,2.373e-10,-0.189616648802,64,NaN,NaN
4,0.200000,-8.501141025120,2.016e-09,2.373e-10,-0.194441741579,64,NaN,NaN
5,0.250000,-8.501141025120,2.016e-09,2.373e-10,-0.200404461383,64,NaN,NaN
6,0.300000,-8.501141025120,2.016e-09,2.373e-10,-0.207335691201,64,NaN,NaN
7,0.350000,-8.501141025120,2.016e-09,2.373e-10,-0.215041100115,64,NaN,NaN
8,0.400000,-8.501141025120,2.016e-09,2.373e-10,-0.223307835810,64,NaN,NaN
9,0.450000,-8.501141025119,2.016e-09,2.373e-10,-0.231911803348,64,NaN,NaN
10,0.500000,-8.501141025119,2.016e-09,2.373e-10,-0.240625251740,64,1.683e-09,5.156e-01
11,0.550000,-8.501141025119,2.017e-09,2.374e-10,-0.249224375357,64,NaN,NaN
12,0.600000,-8.501141025119,2.017e-09,2.374e-10,-0.257496634479,64,NaN,NaN
13,0.650000,-8.501141025119,2.017e-09,2.374e-10,-0.265247508992,64,NaN,NaN
14,0.700000,-8.501141025119,2.017e-09,2.374e-10,-0.272306421921,64,NaN,NaN
15,0.750000,-8.501141025119,2.017e-09,2.374e-10,-0.278531604466,64,NaN,NaN
16,0.800000,-8.501141025119,2.017e-09,2.374e-10,-0.283813720644,64,NaN,NaN
17,0.850000,-8.501141025119,2.017e-09,2.374e-10,-0.288078125483,64,NaN,NaN
18,0.900000,-8.501141025119,2.017e-09,2.374e-10,-0.291285693464,64,NaN,NaN
19,0.950000,-8.501141025119,2.017e-09,2.374e-10,-0.293432220405,64,NaN,NaN
20,1.000000,-8.501141025119,2.017e-09,2.374e-10,-0.294546468630,64,5.471e-09,4.564e-01
